hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
8.626478134761111,7.0,1.0,4.0,4.0,3.0,3.0,35.0,Travel_Rarely,Research & Development,12.0,2.0,Medical,1.0,181.0,Female,2.0,Sales Representative,Married,28090.0,4.0,Y,23.0,8.0,1.0,10.0,2.0,8.0,0.0,0.0
7.750198572065833,17.0,3.0,3.0,4.0,1.0,3.0,20.0,Travel_Rarely,Research & Development,2.0,2.0,Life Sciences,1.0,3414.0,Female,2.0,Research Scientist,Single,63970.0,1.0,Y,17.0,8.0,1.0,1.0,3.0,1.0,0.0,0.0
7.612337126282778,10.0,4.0,3.0,3.0,4.0,3.0,38.0,Travel_Rarely,Sales,4.0,4.0,Life Sciences,1.0,1392.0,Male,1.0,Manufacturing Director,Single,70820.0,1.0,Y,14.0,8.0,0.0,2.0,3.0,2.0,2.0,1.0
7.504865015617778,9.0,3.0,3.0,3.0,3.0,4.0,45.0,Travel_Rarely,Research & Development,19.0,4.0,Medical,1.0,986.0,Male,1.0,Sales Representative,Married,71190.0,4.0,Y,15.0,8.0,0.0,9.0,2.0,5.0,0.0,3.0
6.1116555109325,11.0,2.0,3.0,4.0,3.0,1.0,31.0,Travel_Frequently,Research & Development,29.0,3.0,Life Sciences,1.0,3768.0,Female,2.0,Healthcare Representative,Single,25150.0,1.0,Y,14.0,8.0,0.0,7.0,3.0,7.0,7.0,7.0
6.760519857206389,15.0,3.0,3.0,2.0,3.0,3.0,29.0,Travel_Rarely,Research & Development,8.0,3.0,Medical,1.0,1633.0,Female,3.0,Manufacturing Director,Married,194310.0,1.0,Y,11.0,8.0,0.0,10.0,3.0,10.0,0.0,7.0
6.509293842034722,10.0,3.0,4.0,4.0,2.0,4.0,34.0,Travel_Rarely,Research & Development,18.0,1.0,Medical,1.0,1737.0,Male,1.0,Healthcare Representative,Single,27030.0,1.0,Y,21.0,8.0,1.0,9.0,2.0,8.0,7.0,7.0
7.40286702365,13.0,2.0,3.0,2.0,3.0,3.0,42.0,Travel_Frequently,Research & Development,2.0,4.0,Medical,1.0,184.0,Female,1.0,Research Scientist,Married,29770.0,4.0,Y,15.0,8.0,3.0,8.0,3.0,2.0,2.0,0.0
7.044107541276111,21.0,3.0,3.0,2.0,4.0,2.0,30.0,Travel_Rarely,Sales,12.0,4.0,Life Sciences,1.0,1081.0,Female,2.0,Sales Executive,Single,49500.0,1.0,Y,12.0,8.0,2.0,1.0,3.0,1.0,0.0,0.0
6.602747657295834,7.0,2.0,3.0,4.0,3.0,2.0,34.0,Travel_Rarely,Research & Development,19.0,3.0,Technical Degree,1.0,4068.0,Female,1.0,Research Director,Divorced,33390.0,1.0,Y,16.0,8.0,0.0,9.0,2.0,8.0,1.0,1.0
10.652589245872223,1.0,4.0,3.0,2.0,1.0,3.0,29.0,Travel_Rarely,Sales,2.0,4.0,Marketing,1.0,332.0,Female,4.0,Research Scientist,Married,106500.0,1.0,Y,13.0,8.0,2.0,1.0,2.0,1.0,0.0,0.0
9.541850736278333,7.0,2.0,3.0,4.0,2.0,3.0,29.0,Travel_Rarely,Research & Development,1.0,3.0,Medical,1.0,1202.0,Male,3.0,Sales Executive,Married,42840.0,4.0,Y,11.0,8.0,0.0,10.0,5.0,4.0,0.0,3.0
6.259136546184722,20.0,3.0,3.0,3.0,2.0,3.0,31.0,Travel_Frequently,Sales,2.0,3.0,Medical,1.0,3716.0,Male,2.0,Sales Executive,Single,25720.0,1.0,Y,13.0,8.0,3.0,10.0,3.0,10.0,4.0,7.0
6.205054663096667,21.0,3.0,3.0,4.0,2.0,3.0,39.0,Travel_Rarely,Sales,10.0,3.0,Marketing,1.0,3858.0,Female,2.0,Research Director,Married,26840.0,4.0,Y,12.0,8.0,0.0,7.0,2.0,5.0,1.0,0.0
7.6227487728691665,9.0,2.0,3.0,4.0,1.0,4.0,44.0,Travel_Rarely,Sales,26.0,1.0,Marketing,1.0,3761.0,Male,1.0,Sales Representative,Married,107610.0,3.0,Y,11.0,8.0,1.0,24.0,5.0,20.0,14.0,17.0
7.561584114234445,7.0,4.0,4.0,3.0,2.0,3.0,53.0,Travel_Frequently,Sales,8.0,2.0,Medical,1.0,503.0,Male,2.0,Research Scientist,Married,120610.0,2.0,Y,20.0,8.0,1.0,30.0,2.0,15.0,6.0,12.0
6.8489234716641665,6.0,3.0,3.0,1.0,1.0,3.0,39.0,Travel_Rarely,Research & Development,1.0,3.0,Other,1.0,2585.0,Female,1.0,Laboratory Technician,Married,105120.0,1.0,Y,12.0,8.0,1.0,10.0,2.0,10.0,7.0,9.0
5.869949799196666,7.0,2.0,3.0,4.0,3.0,3.0,47.0,Travel_Rarely,Research & Development,25.0,4.0,Medical,1.0,897.0,Male,2.0,Research Scientist,Married,148520.0,3.0,Y,19.0,8.0,3.0,27.0,3.0,5.0,1.0,0.0
9.870829986613055,10.0,2.0,3.0,3.0,3.0,4.0,41.0,Travel_Rarely,Research & Development,1.0,1.0,Technical Degree,1.0,3978.0,Male,3.0,Laboratory Technician,Divorced,25150.0,0.0,Y,18.0,8.0,0.0,23.0,2.0,22.0,13.0,5.0
6.65505577867,22.0,3.0,4.0,1.0,4.0,3.0,42.0,Travel_Frequently,Research & Development,8.0,4.0,Medical,1.0,793.0,Female,1.0,Sales Executive,Single,60620.0,1.0,Y,22.0,8.0,2.0,12.0,2.0,12.0,5.0,8.0
5.9562382864791665,6.0,3.0,3.0,3.0,4.0,3.0,31.0,Travel_Rarely,Research & Development,27.0,3.0,Medical,1.0,2758.0,Female,2.0,Research Director,Single,21320.0,1.0,Y,18.0,8.0,0.0,11.0,3.0,11.0,1.0,8.0
7.905890227576944,5.0,3.0,3.0,4.0,4.0,1.0,42.0,Travel_Frequently,Human Resources,1.0,4.0,Technical Degree,1.0,836.0,Male,2.0,Manufacturing Director,Married,31620.0,2.0,Y,17.0,8.0,2.0,24.0,1.0,20.0,13.0,9.0
7.0159772423025,10.0,3.0,3.0,1.0,4.0,3.0,26.0,Travel_Rarely,Research & Development,4.0,3.0,Life Sciences,1.0,2331.0,Male,1.0,Research Director,Married,32940.0,1.0,Y,11.0,8.0,0.0,1.0,6.0,1.0,0.0,0.0
6.326800535475,21.0,3.0,4.0,3.0,3.0,1.0,28.0,Travel_Rarely,Research & Development,11.0,2.0,Medical,1.0,1477.0,Male,2.0,Sales Executive,Single,58130.0,2.0,Y,20.0,8.0,1.0,5.0,2.0,0.0,0.0,0.0
9.26681726907611,6.0,2.0,3.0,4.0,1.0,3.0,42.0,Travel_Rarely,Sales,18.0,2.0,Medical,1.0,2939.0,Male,1.0,Laboratory Technician,Divorced,23980.0,0.0,Y,14.0,8.0,1.0,10.0,2.0,9.0,7.0,8.0
8.069119812583612,15.0,3.0,3.0,2.0,4.0,1.0,41.0,Travel_Rarely,Research & Development,7.0,2.0,Life Sciences,1.0,4153.0,Female,1.0,Research Scientist,Single,20990.0,8.0,Y,12.0,8.0,1.0,8.0,2.0,6.0,0.0,5.0
6.776868585452778,8.0,3.0,3.0,3.0,2.0,3.0,32.0,Travel_Rarely,Research & Development,3.0,2.0,Technical Degree,1.0,2639.0,Male,3.0,Manufacturing Director,Single,53630.0,1.0,Y,13.0,8.0,0.0,6.0,4.0,6.0,4.0,1.0
8.653307675145,17.0,3.0,4.0,4.0,4.0,3.0,43.0,Travel_Rarely,Sales,1.0,3.0,Marketing,1.0,1448.0,Female,2.0,Manufacturing Director,Married,29320.0,5.0,Y,24.0,8.0,0.0,22.0,3.0,17.0,1.0,9.0
6.3086958946897225,11.0,3.0,3.0,3.0,3.0,3.0,54.0,Travel_Rarely,Sales,23.0,3.0,Medical,1.0,1941.0,Female,1.0,Laboratory Technician,Married,136030.0,8.0,Y,13.0,8.0,1.0,22.0,2.0,10.0,0.0,8.0
7.939370816599722,11.0,1.0,3.0,1.0,1.0,2.0,33.0,Travel_Rarely,Research & Development,10.0,3.0,Life Sciences,1.0,3938.0,Male,1.0,Sales Executive,Single,43020.0,2.0,Y,13.0,8.0,0.0,11.0,3.0,0.0,0.0,0.0
7.252043730477222,6.0,3.0,4.0,3.0,4.0,2.0,45.0,Travel_Rarely,Research & Development,2.0,1.0,Technical Degree,1.0,4294.0,Female,2.0,Healthcare Representative,Single,57680.0,5.0,Y,23.0,8.0,1.0,9.0,4.0,6.0,0.0,3.0
7.420206381079722,13.0,4.0,3.0,1.0,3.0,2.0,26.0,Travel_Rarely,Sales,8.0,2.0,Marketing,1.0,3480.0,Male,2.0,Sales Executive,Divorced,80950.0,1.0,Y,15.0,8.0,0.0,1.0,3.0,1.0,0.0,0.0
6.894186746987778,6.0,2.0,3.0,2.0,4.0,2.0,34.0,Travel_Rarely,Sales,6.0,4.0,Marketing,1.0,500.0,Male,2.0,Research Director,Divorced,96130.0,0.0,Y,12.0,8.0,1.0,16.0,5.0,15.0,0.0,9.0
9.31242748772861,12.0,3.0,3.0,2.0,1.0,3.0,40.0,Travel_Rarely,Research & Development,22.0,2.0,Technical Degree,1.0,972.0,Male,1.0,Healthcare Representative,Married,23230.0,2.0,Y,16.0,8.0,1.0,18.0,2.0,1.0,0.0,0.0
7.372218875501945,10.0,3.0,3.0,2.0,3.0,3.0,27.0,Travel_Rarely,Research & Development,1.0,3.0,Medical,1.0,413.0,Male,1.0,Research Scientist,Single,20580.0,1.0,Y,14.0,8.0,1.0,1.0,5.0,1.0,0.0,0.0
5.719563810798611,19.0,2.0,3.0,4.0,4.0,3.0,41.0,Non-Travel,Research & Development,3.0,2.0,Life Sciences,1.0,189.0,Female,2.0,Research Scientist,Single,99360.0,7.0,Y,17.0,8.0,1.0,16.0,2.0,14.0,1.0,10.0
7.5563029897366665,16.0,3.0,3.0,4.0,4.0,3.0,54.0,Non-Travel,Research & Development,9.0,3.0,Life Sciences,1.0,2795.0,Male,1.0,Laboratory Technician,Single,196130.0,2.0,Y,17.0,8.0,0.0,23.0,5.0,5.0,4.0,4.0
6.434057340472778,21.0,3.0,3.0,3.0,3.0,3.0,34.0,Travel_Frequently,Sales,24.0,4.0,Marketing,1.0,2842.0,Male,2.0,Manufacturing Director,Married,164130.0,6.0,Y,16.0,8.0,0.0,6.0,1.0,4.0,1.0,2.0
9.873343373493888,19.0,2.0,3.0,1.0,2.0,2.0,29.0,Travel_Rarely,Research & Development,1.0,2.0,Medical,1.0,3871.0,Male,2.0,Sales Representative,Divorced,42400.0,1.0,Y,14.0,8.0,0.0,10.0,2.0,10.0,0.0,9.0
7.110085899151945,9.0,2.0,3.0,2.0,3.0,3.0,34.0,Travel_Rarely,Research & Development,2.0,3.0,Life Sciences,1.0,2513.0,Male,2.0,Laboratory Technician,Married,53430.0,1.0,Y,14.0,8.0,0.0,10.0,5.0,10.0,4.0,8.0
10.433987059348333,3.0,3.0,3.0,3.0,4.0,3.0,28.0,Travel_Frequently,Sales,8.0,3.0,Life Sciences,1.0,4047.0,Male,4.0,Research Scientist,Married,11180.0,1.0,Y,11.0,8.0,0.0,7.0,3.0,7.0,0.0,7.0
5.465740740740555,22.0,3.0,3.0,3.0,1.0,4.0,52.0,Travel_Rarely,Sales,21.0,5.0,Technical Degree,1.0,1774.0,Male,3.0,Manager,Married,28890.0,1.0,Y,11.0,8.0,1.0,34.0,2.0,34.0,1.0,16.0
6.063685854529167,12.0,2.0,3.0,3.0,3.0,3.0,35.0,Travel_Rarely,Human Resources,1.0,3.0,Human Resources,1.0,441.0,Male,3.0,Laboratory Technician,Married,136750.0,1.0,Y,15.0,8.0,3.0,5.0,5.0,5.0,1.0,0.0
7.480546630968056,15.0,2.0,3.0,4.0,1.0,3.0,32.0,Travel_Rarely,Human Resources,12.0,2.0,Human Resources,1.0,1314.0,Female,1.0,Sales Representative,Single,20610.0,1.0,Y,15.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0
5.744808121374167,11.0,3.0,3.0,1.0,1.0,3.0,36.0,Non-Travel,Research & Development,10.0,4.0,Technical Degree,1.0,3224.0,Female,2.0,Research Scientist,Married,41520.0,9.0,Y,19.0,8.0,1.0,10.0,3.0,8.0,0.0,5.0
7.048124721106389,18.0,2.0,3.0,2.0,4.0,3.0,34.0,Travel_Rarely,Research & Development,28.0,3.0,Technical Degree,1.0,4166.0,Male,1.0,Laboratory Technician,Divorced,107930.0,0.0,Y,11.0,8.0,3.0,3.0,1.0,2.0,1.0,2.0
7.4667358322175,20.0,1.0,3.0,3.0,3.0,3.0,41.0,Travel_Rarely,Research & Development,17.0,2.0,Other,1.0,1346.0,Male,1.0,Manufacturing Director,Divorced,52080.0,3.0,Y,11.0,8.0,3.0,12.0,2.0,9.0,0.0,7.0
6.985215305666944,20.0,3.0,4.0,3.0,3.0,3.0,55.0,Travel_Rarely,Research & Development,3.0,2.0,Life Sciences,1.0,2477.0,Female,1.0,Sales Executive,Married,73510.0,8.0,Y,20.0,8.0,1.0,34.0,3.0,1.0,0.0,0.0
6.032679607318055,15.0,3.0,3.0,3.0,3.0,3.0,22.0,Travel_Frequently,Research & Development,7.0,3.0,Medical,1.0,186.0,Female,2.0,Laboratory Technician,Single,37850.0,5.0,Y,13.0,8.0,2.0,4.0,2.0,2.0,1.0,2.0
6.126974564926111,6.0,2.0,3.0,1.0,4.0,4.0,38.0,Travel_Rarely,Sales,1.0,1.0,Medical,1.0,2851.0,Male,2.0,Laboratory Technician,Single,176030.0,4.0,Y,16.0,8.0,0.0,12.0,0.0,8.0,0.0,7.0
7.200829986613056,22.0,3.0,3.0,4.0,4.0,3.0,32.0,Non-Travel,Research & Development,21.0,3.0,Life Sciences,1.0,1850.0,Male,1.0,Sales Executive,Divorced,44500.0,0.0,Y,13.0,8.0,0.0,4.0,3.0,3.0,0.0,2.0
6.426728023203889,14.0,4.0,3.0,2.0,2.0,3.0,40.0,Travel_Frequently,Sales,9.0,3.0,Medical,1.0,3549.0,Male,1.0,Manufacturing Director,Married,45230.0,5.0,Y,16.0,8.0,1.0,5.0,5.0,0.0,0.0,0.0
10.457554663096667,9.0,2.0,3.0,3.0,3.0,2.0,47.0,Travel_Rarely,Research & Development,8.0,4.0,Medical,1.0,810.0,Female,2.0,Sales Representative,Married,23660.0,3.0,Y,17.0,8.0,0.0,11.0,5.0,5.0,1.0,2.0
5.896431280678056,5.0,3.0,3.0,2.0,4.0,3.0,33.0,Travel_Rarely,Research & Development,1.0,4.0,Medical,1.0,437.0,Female,4.0,Manufacturing Director,Single,44650.0,0.0,Y,13.0,8.0,0.0,6.0,3.0,5.0,1.0,4.0
5.562235609103055,21.0,4.0,3.0,3.0,4.0,3.0,26.0,Travel_Frequently,Sales,16.0,2.0,Life Sciences,1.0,1104.0,Male,2.0,Healthcare Representative,Married,83800.0,2.0,Y,14.0,8.0,0.0,8.0,3.0,7.0,7.0,7.0
9.18578759482361,6.0,2.0,3.0,1.0,1.0,4.0,39.0,Non-Travel,Research & Development,2.0,4.0,Medical,1.0,775.0,Male,2.0,Manufacturing Director,Single,43810.0,2.0,Y,15.0,8.0,2.0,11.0,1.0,1.0,0.0,0.0
6.231782686300556,18.0,3.0,3.0,4.0,1.0,3.0,47.0,Travel_Rarely,Research & Development,2.0,3.0,Medical,1.0,275.0,Female,5.0,Sales Executive,Single,50210.0,2.0,Y,17.0,8.0,0.0,20.0,3.0,7.0,1.0,7.0
8.8573058902275,12.0,2.0,3.0,2.0,3.0,2.0,26.0,Travel_Rarely,Research & Development,26.0,2.0,Life Sciences,1.0,4032.0,Male,2.0,Human Resources,Married,68120.0,1.0,Y,13.0,8.0,0.0,1.0,2.0,1.0,1.0,0.0
6.010324631860556,21.0,4.0,4.0,1.0,2.0,3.0,45.0,Travel_Rarely,Research & Development,4.0,3.0,Medical,1.0,2312.0,Female,3.0,Laboratory Technician,Divorced,118360.0,1.0,Y,22.0,8.0,0.0,10.0,2.0,10.0,7.0,7.0
6.984533690316667,14.0,2.0,3.0,2.0,3.0,4.0,35.0,Travel_Rarely,Research & Development,8.0,1.0,Technical Degree,1.0,3985.0,Female,3.0,Manufacturing Director,Married,53460.0,0.0,Y,14.0,8.0,0.0,6.0,3.0,5.0,0.0,3.0
5.943022088353334,17.0,3.0,3.0,1.0,3.0,3.0,34.0,Non-Travel,Sales,1.0,2.0,Life Sciences,1.0,3660.0,Male,2.0,Research Scientist,Divorced,86210.0,1.0,Y,17.0,8.0,1.0,5.0,1.0,5.0,0.0,0.0
7.063395805443889,14.0,3.0,3.0,3.0,3.0,3.0,40.0,Travel_Rarely,Research & Development,17.0,4.0,Life Sciences,1.0,1200.0,Male,1.0,Manager,Married,35780.0,2.0,Y,14.0,8.0,1.0,20.0,2.0,5.0,0.0,2.0
5.796986836233611,16.0,3.0,3.0,4.0,1.0,1.0,37.0,Travel_Rarely,Research & Development,24.0,3.0,Life Sciences,1.0,3974.0,Male,1.0,Laboratory Technician,Single,137580.0,1.0,Y,11.0,8.0,1.0,10.0,5.0,10.0,0.0,8.0
5.738525211958889,15.0,3.0,3.0,1.0,1.0,2.0,36.0,Travel_Frequently,Sales,16.0,2.0,Life Sciences,1.0,711.0,Male,1.0,Research Scientist,Married,12810.0,2.0,Y,11.0,8.0,0.0,17.0,2.0,15.0,6.0,13.0
5.826133422579167,7.0,2.0,3.0,3.0,3.0,4.0,35.0,Travel_Frequently,Research & Development,19.0,3.0,Life Sciences,1.0,1441.0,Female,1.0,Sales Executive,Single,21450.0,1.0,Y,13.0,8.0,0.0,10.0,6.0,10.0,0.0,8.0
5.695042391789166,23.0,2.0,3.0,1.0,3.0,1.0,37.0,Travel_Rarely,Sales,10.0,4.0,Marketing,1.0,438.0,Female,3.0,Human Resources,Married,30720.0,5.0,Y,14.0,8.0,0.0,17.0,3.0,14.0,11.0,7.0
8.576400044622778,19.0,4.0,3.0,3.0,2.0,2.0,44.0,Travel_Frequently,Sales,10.0,4.0,Life Sciences,1.0,1022.0,Male,1.0,Research Scientist,Divorced,28440.0,1.0,Y,12.0,8.0,0.0,6.0,2.0,5.0,2.0,3.0
6.478288710396945,5.0,3.0,3.0,3.0,4.0,3.0,40.0,Travel_Rarely,Sales,27.0,2.0,Medical,1.0,2512.0,Female,3.0,Sales Executive,Divorced,102740.0,4.0,Y,18.0,8.0,0.0,12.0,3.0,5.0,0.0,3.0
5.854761267291111,21.0,3.0,3.0,2.0,4.0,3.0,30.0,Travel_Rarely,Sales,9.0,3.0,Medical,1.0,1359.0,Male,2.0,Research Scientist,Single,39360.0,0.0,Y,11.0,8.0,1.0,6.0,3.0,5.0,1.0,2.0
8.236645470771945,8.0,2.0,4.0,2.0,3.0,4.0,33.0,Travel_Rarely,Research & Development,10.0,3.0,Life Sciences,1.0,1648.0,Female,4.0,Research Director,Married,67280.0,7.0,Y,22.0,8.0,0.0,15.0,2.0,7.0,7.0,7.0
5.765429495760555,10.0,3.0,3.0,2.0,3.0,3.0,41.0,Travel_Rarely,Sales,20.0,4.0,Marketing,1.0,2728.0,Male,2.0,Sales Executive,Married,102090.0,1.0,Y,13.0,8.0,1.0,23.0,2.0,22.0,15.0,8.0
5.5661903168227775,17.0,2.0,3.0,4.0,4.0,3.0,24.0,Travel_Frequently,Sales,22.0,3.0,Life Sciences,1.0,1683.0,Female,1.0,Healthcare Representative,Married,29350.0,0.0,Y,14.0,8.0,2.0,3.0,5.0,2.0,2.0,1.0
6.687266845158334,5.0,2.0,3.0,1.0,3.0,3.0,42.0,Travel_Frequently,Sales,10.0,3.0,Marketing,1.0,1622.0,Female,2.0,Healthcare Representative,Divorced,28370.0,2.0,Y,13.0,8.0,1.0,19.0,0.0,5.0,0.0,2.0
7.601465863453611,21.0,3.0,3.0,4.0,4.0,1.0,31.0,Travel_Rarely,Research & Development,1.0,4.0,Life Sciences,1.0,3373.0,Male,4.0,Research Director,Married,190680.0,0.0,Y,12.0,8.0,0.0,10.0,1.0,9.0,8.0,5.0
6.460911423471389,17.0,3.0,3.0,1.0,3.0,2.0,38.0,Travel_Rarely,Research & Development,1.0,2.0,Medical,1.0,2906.0,Male,4.0,Laboratory Technician,Divorced,64720.0,0.0,Y,12.0,8.0,0.0,17.0,4.0,16.0,5.0,13.0
6.704921909861667,13.0,4.0,3.0,4.0,2.0,3.0,35.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,1.0,3330.0,Male,3.0,Healthcare Representative,Married,167920.0,3.0,Y,12.0,8.0,1.0,16.0,3.0,13.0,4.0,8.0
7.163153726015,17.0,2.0,3.0,3.0,3.0,3.0,29.0,Travel_Rarely,Research & Development,10.0,3.0,Other,1.0,1807.0,Male,1.0,Research Scientist,Married,34520.0,1.0,Y,11.0,8.0,0.0,10.0,3.0,10.0,0.0,7.0
9.593979250334444,9.0,1.0,3.0,2.0,2.0,2.0,58.0,Travel_Rarely,Sales,3.0,3.0,Marketing,1.0,2840.0,Female,1.0,Research Scientist,Married,52060.0,4.0,Y,11.0,8.0,3.0,9.0,4.0,1.0,0.0,0.0
5.988147032574722,23.0,1.0,3.0,3.0,3.0,2.0,32.0,Travel_Rarely,Sales,10.0,3.0,Marketing,1.0,3309.0,Female,1.0,Human Resources,Married,30720.0,5.0,Y,12.0,8.0,0.0,9.0,4.0,5.0,1.0,3.0
7.477456492636945,7.0,3.0,3.0,4.0,4.0,2.0,36.0,Non-Travel,Sales,1.0,1.0,Medical,1.0,2660.0,Female,1.0,Human Resources,Divorced,132470.0,1.0,Y,14.0,8.0,0.0,15.0,3.0,15.0,11.0,11.0
7.290654841588333,11.0,2.0,4.0,1.0,1.0,3.0,36.0,Travel_Rarely,Research & Development,14.0,3.0,Other,1.0,3316.0,Male,2.0,Research Scientist,Married,39290.0,0.0,Y,24.0,8.0,0.0,6.0,6.0,5.0,0.0,3.0
7.417016956715556,6.0,2.0,3.0,3.0,2.0,3.0,38.0,Travel_Rarely,Research & Development,2.0,3.0,Medical,1.0,855.0,Female,3.0,Sales Executive,Married,49080.0,4.0,Y,19.0,8.0,1.0,7.0,3.0,5.0,1.0,4.0
5.6936546184738885,17.0,3.0,3.0,3.0,3.0,2.0,30.0,Non-Travel,Research & Development,8.0,3.0,Life Sciences,1.0,3735.0,Male,1.0,Manufacturing Director,Divorced,21430.0,1.0,Y,17.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0
6.522910531012778,14.0,2.0,3.0,3.0,4.0,3.0,45.0,Travel_Rarely,Research & Development,18.0,1.0,Life Sciences,1.0,1457.0,Female,2.0,Sales Representative,Married,58110.0,0.0,Y,14.0,8.0,0.0,25.0,4.0,24.0,1.0,7.0
6.315707273538333,16.0,3.0,3.0,3.0,2.0,3.0,24.0,Non-Travel,Sales,1.0,5.0,Marketing,1.0,1799.0,Female,1.0,Manufacturing Director,Divorced,81890.0,1.0,Y,14.0,8.0,1.0,1.0,3.0,1.0,0.0,0.0
7.925203034359445,8.0,3.0,3.0,1.0,4.0,4.0,35.0,Travel_Frequently,Research & Development,13.0,3.0,Life Sciences,1.0,3898.0,Male,3.0,Sales Executive,Single,20420.0,0.0,Y,16.0,8.0,0.0,6.0,2.0,5.0,1.0,4.0
9.858256358768333,4.0,4.0,3.0,3.0,4.0,3.0,46.0,Travel_Rarely,Sales,3.0,4.0,Marketing,1.0,1020.0,Female,1.0,Sales Representative,Divorced,42720.0,7.0,Y,13.0,8.0,0.0,24.0,3.0,2.0,2.0,2.0
7.398280901383056,8.0,2.0,3.0,3.0,1.0,3.0,26.0,Travel_Frequently,Sales,11.0,3.0,Marketing,1.0,428.0,Male,2.0,Healthcare Representative,Single,22670.0,1.0,Y,19.0,8.0,3.0,7.0,2.0,7.0,0.0,7.0
6.263285363676666,13.0,3.0,3.0,3.0,4.0,3.0,43.0,Travel_Rarely,Research & Development,11.0,2.0,Life Sciences,1.0,2111.0,Male,3.0,Laboratory Technician,Married,168350.0,3.0,Y,17.0,8.0,1.0,25.0,3.0,8.0,0.0,7.0
6.165533244087222,19.0,3.0,3.0,4.0,1.0,3.0,30.0,Travel_Rarely,Research & Development,1.0,3.0,Medical,1.0,2828.0,Female,3.0,Sales Executive,Divorced,103060.0,5.0,Y,13.0,8.0,0.0,8.0,5.0,3.0,2.0,2.0
